"Step","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss__MIN","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss__MAX","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss__MIN","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss__MAX","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss__MIN","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss__MAX","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss__MIN","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss__MAX","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss__MIN","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss__MAX","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss__MIN","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss__MAX","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss__MIN","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss__MAX","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss__MIN","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss__MAX","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss__MIN","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss__MAX","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss__MIN","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss__MAX","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss__MIN","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss__MAX"
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.274090766906738","7.274090766906738","7.274090766906738"
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.239923477172852","7.239923477172852","7.239923477172852"
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.913683891296387","7.913683891296387","7.913683891296387","7.259224891662598","7.259224891662598","7.259224891662598"
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.020733833312988","8.020733833312988","8.020733833312988","7.224872589111328","7.224872589111328","7.224872589111328"
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.793941974639893","7.793941974639893","7.793941974639893","7.170073509216309","7.170073509216309","7.170073509216309"
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8508710861206055","7.8508710861206055","7.8508710861206055","7.207337856292725","7.207337856292725","7.207337856292725"
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.800029277801514","7.800029277801514","7.800029277801514","7.20767879486084","7.20767879486084","7.20767879486084"
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.696810245513916","7.696810245513916","7.696810245513916","7.090224266052246","7.090224266052246","7.090224266052246"
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.65616512298584","7.65616512298584","7.65616512298584","7.117638111114502","7.117638111114502","7.117638111114502"
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.604025840759277","7.604025840759277","7.604025840759277","7.08696174621582","7.08696174621582","7.08696174621582"
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.533308029174805","7.533308029174805","7.533308029174805","7.025786876678467","7.025786876678467","7.025786876678467"
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4789814949035645","7.4789814949035645","7.4789814949035645","6.964637756347656","6.964637756347656","6.964637756347656"
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.453444480895996","7.453444480895996","7.453444480895996","6.997805595397949","6.997805595397949","6.997805595397949"
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.43583345413208","7.43583345413208","7.43583345413208","6.9684648513793945","6.9684648513793945","6.9684648513793945"
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.405282974243164","7.405282974243164","7.405282974243164","6.994260311126709","6.994260311126709","6.994260311126709"
